COSMIC_SAMPLE_ID	SAMPLE_NAME	COSMIC_GENE_ID	GENE_SYMBOL	GENE_EXPRESSION
COSS683665	MC-CAR	COSG113664	A1BG	-0.430
COSS683665	MC-CAR	COSG68236	A1CF	-0.860
COSS683665	MC-CAR	COSG114315	A2M	1.070
COSS683665	MC-CAR	COSG64057	A2ML1	0.420
COSS683665	MC-CAR	COSG80868	A3GALT2	2.740
COSS683665	MC-CAR	COSG74428	A4GALT	-0.880
COSS683665	MC-CAR	COSG70017	A4GNT	-0.470
COSS683665	MC-CAR	COSG79815	AAAS	0.920
COSS683665	MC-CAR	COSG116095	AACS	-0.450
COSS683665	MC-CAR	COSG89686	AACSP1	1.910
COSS683665	MC-CAR	COSG85843	AADAC	-1.400
COSS683665	MC-CAR	COSG82823	AADACL2	1.740
COSS683665	MC-CAR	COSG86269	AADACL3	-1.810
COSS683665	MC-CAR	COSG74120	AADACL4	0.350
COSS683665	MC-CAR	COSG100182	AADAT	-0.460
COSS683665	MC-CAR	COSG99760	AAGAB	-0.680
COSS683665	MC-CAR	COSG93372	AAK1	3.220
COSS683665	MC-CAR	COSG108597	AAMDC	-2.590
COSS683665	MC-CAR	COSG110830	AAMP	-1.800
COSS683665	MC-CAR	COSG77858	AANAT	1.660
COSS683665	MC-CAR	COSG95046	AAR2	-0.390
COSS683665	MC-CAR	COSG103904	AARD	1.020
COSS683665	MC-CAR	COSG87800	AARS	-1.190
COSS683665	MC-CAR	COSG65170	AARS2	0.100
COSS683665	MC-CAR	COSG60890	AASDH	-0.210
COSS683665	MC-CAR	COSG90940	AASDHPPT	-0.910
COSS683665	MC-CAR	COSG75544	AASS	-0.790
COSS683665	MC-CAR	COSG96854	AATF	0.720
COSS683665	MC-CAR	COSG74017	AATK	-1.640
COSS683665	MC-CAR	COSG59066	ABAT	-0.890
COSS683665	MC-CAR	COSG60114	ABCA1	-1.070
COSS683665	MC-CAR	COSG109381	ABCA10	0.750
COSS683665	MC-CAR	COSG85461	ABCA12	3.010
COSS683665	MC-CAR	COSG111847	ABCA13	1.200
COSS683665	MC-CAR	COSG92622	ABCA2	-0.150
COSS683665	MC-CAR	COSG70268	ABCA3	-1.520
COSS683665	MC-CAR	COSG104490	ABCA4	2.100
COSS683665	MC-CAR	COSG115449	ABCA5	0.800
COSS683665	MC-CAR	COSG81884	ABCA6	4.750
COSS683665	MC-CAR	COSG75864	ABCA7	-0.530
COSS683665	MC-CAR	COSG99376	ABCA8	2.030
COSS683665	MC-CAR	COSG99038	ABCA9	0.750
COSS683665	MC-CAR	COSG59212	ABCB1	2.060
COSS683665	MC-CAR	COSG59811	ABCB10	0.590
COSS683665	MC-CAR	COSG102909	ABCB11	-3.510
COSS683665	MC-CAR	COSG86950	ABCB4	1.840
COSS683665	MC-CAR	COSG109439	ABCB5	1.800
COSS683665	MC-CAR	COSG113333	ABCB7	1.780
COSS683665	MC-CAR	COSG80447	ABCB8	-1.260
COSS683665	MC-CAR	COSG88078	ABCB9	-0.550
COSS683665	MC-CAR	COSG67891	ABCC1	-0.330
COSS683665	MC-CAR	COSG72663	ABCC10	-1.490
COSS683665	MC-CAR	COSG71869	ABCC11	1.640
COSS683665	MC-CAR	COSG63822	ABCC12	1.080
COSS683665	MC-CAR	COSG97980	ABCC13	1.350
COSS683665	MC-CAR	COSG88514	ABCC2	-2.600
COSS683665	MC-CAR	COSG89956	ABCC3	-1.050
COSS683665	MC-CAR	COSG70112	ABCC4	1.190
COSS683665	MC-CAR	COSG115445	ABCC5	-1.500
COSS683665	MC-CAR	COSG108152	ABCC6	1.950
COSS683665	MC-CAR	COSG67420	ABCC6P1	-2.350
COSS683665	MC-CAR	COSG73752	ABCC8	1.590
COSS683665	MC-CAR	COSG58721	ABCC9	1.620
COSS683665	MC-CAR	COSG73003	ABCD1	-0.720
COSS683665	MC-CAR	COSG113824	ABCD2	2.460
COSS683665	MC-CAR	COSG74474	ABCD3	0.210
COSS683665	MC-CAR	COSG111632	ABCD4	-0.750
COSS683665	MC-CAR	COSG62735	ABCE1	2.780
COSS683665	MC-CAR	COSG101783	ABCF1	0.840
COSS683665	MC-CAR	COSG114125	ABCF2	0.710
COSS683665	MC-CAR	COSG62206	ABCF2	0.710
COSS683665	MC-CAR	COSG91586	ABCG1	-0.670
COSS683665	MC-CAR	COSG110927	ABCG2	-0.460
COSS683665	MC-CAR	COSG83658	ABCG4	0.300
COSS683665	MC-CAR	COSG114998	ABCG5	1.100
COSS683665	MC-CAR	COSG94804	ABCG8	1.980
COSS683665	MC-CAR	COSG115943	ABHD1	-7.080
COSS683665	MC-CAR	COSG73556	ABHD10	0.820
COSS683665	MC-CAR	COSG112638	ABHD11	-0.780
COSS683665	MC-CAR	COSG89041	ABHD11-AS1	0.670
COSS683665	MC-CAR	COSG67226	ABHD12	-0.800
COSS683665	MC-CAR	COSG85896	ABHD12B	1.850
COSS683665	MC-CAR	COSG102191	ABHD13	-0.300
COSS683665	MC-CAR	COSG105024	ABHD15	-0.600
COSS683665	MC-CAR	COSG77975	ABHD16B	-0.100
COSS683665	MC-CAR	COSG75483	ABHD17B	1.970
COSS683665	MC-CAR	COSG91319	ABHD17C	-1.800
COSS683665	MC-CAR	COSG74952	ABHD18	1.060
COSS683665	MC-CAR	COSG100689	ABHD2	1.000
COSS683665	MC-CAR	COSG80251	ABHD3	-0.030
COSS683665	MC-CAR	COSG75893	ABHD4	-0.050
COSS683665	MC-CAR	COSG69047	ABHD5	0.180
COSS683665	MC-CAR	COSG76305	ABHD6	1.490
COSS683665	MC-CAR	COSG84590	ABHD8	-0.450
COSS683665	MC-CAR	COSG100962	ABI1	1.860
COSS683665	MC-CAR	COSG74962	ABI2	-0.620
COSS683665	MC-CAR	COSG66468	ABI3	4.720
COSS683665	MC-CAR	COSG65160	ABI3BP	-1.900
COSS683665	MC-CAR	COSG106650	ABL1	-1.630
